species,eventDate,decimalLatitude,decimalLongitude
Balaenoptera musculus,2024-07-10T10:07:53Z,32.14,-119.17
Balaenoptera musculus,2024-07-09T15:27:45Z,32.14,-119.17
Balaenoptera musculus,2024-07-09T15:26:43Z,32.14,-119.17
Balaenoptera musculus,2024-07-09T15:30:42Z,32.14,-119.17
Balaenoptera musculus,2024-07-09T15:29:50Z,32.14,-119.17
Balaenoptera musculus,2024-06-22T00:00:00Z,34.100288,-119.959591
Balaenoptera musculus,2024-06-22T00:00:00Z,34.100288,-119.959591
Balaenoptera musculus,2024-06-22T00:00:00Z,34.100288,-119.959591
Balaenoptera musculus,2024-06-22T00:00:00Z,34.100288,-119.959591
Balaenoptera musculus,2024-06-22T00:00:00Z,34.100288,-119.959591
Balaenoptera musculus,2024-06-22T00:00:00Z,34.100288,-119.959591
Balaenoptera musculus,2024-06-22T00:00:00Z,34.100288,-119.959591
Balaenoptera musculus,2024-06-02T13:35:36Z,33.504448,-117.828561
Balaenoptera musculus,2024-05-21T13:32:51Z,33.43,-117.7
Balaenoptera musculus,2024-07-10T10:51:47Z,32.14,-119.17
Balaenoptera musculus,2024-07-10T11:03:14Z,32.14,-119.17
Balaenoptera musculus,2024-07-10T10:13:48Z,32.14,-119.17
Balaenoptera musculus,2024-06-07T14:40:29Z,33.571615,-118.223877
Balaenoptera musculus,2024-07-09T15:05:19Z,32.14,-119.17
Balaenoptera musculus,2024-07-09T14:58:59Z,32.14,-119.17
Balaenoptera musculus,2024-07-09T14:52:04Z,32.14,-119.17
Balaenoptera musculus,2024-07-09T14:50:20Z,32.14,-119.17
Balaenoptera musculus,2024-07-09T14:58:28Z,32.14,-119.17
Balaenoptera musculus,2024-06-18T16:50:25Z,34.11981,-119.49946
Balaenoptera musculus,2024-05-20T11:06:56Z,32.74,-117.33
Balaenoptera musculus,2024-05-22T10:14:26Z,32.74,-117.33
Balaenoptera musculus,2024-05-25T13:14:07Z,32.719566,-117.46582
Balaenoptera musculus,2024-05-27T15:45:27Z,32.71,-117.46
Balaenoptera musculus,2024-05-27T15:45:28Z,32.71,-117.46
Balaenoptera musculus,2024-06-22T00:00:00Z,34.09436,-119.8264
Balaenoptera musculus,2024-05-27T15:59:55Z,32.71,-117.46
Balaenoptera musculus,2024-06-18T12:03:18Z,34.048601,-119.471512
Balaenoptera musculus,2024-06-12T16:14:46Z,34.103388,-119.618859
Balaenoptera musculus,2024-06-28T18:38:54Z,32.814644,-117.351569
Balaenoptera musculus,2024-05-19T09:30:16Z,32.74,-117.33
Balaenoptera musculus,2024-06-12T15:55:59Z,34.11661,-119.604432
Balaenoptera musculus,2024-06-07T11:32:43Z,33.184071,-117.434921
Balaenoptera musculus,2024-07-09T15:10:54Z,32.14,-119.17
Balaenoptera musculus,2024-07-09T15:09:08Z,32.144,-119.17
Balaenoptera musculus,2024-07-09T15:16:56Z,32.14,-119.17
Balaenoptera musculus,2024-07-09T15:12:05Z,32.14,-119.17
Balaenoptera musculus,2024-07-04T12:50:19Z,34.089887,-119.520792
Balaenoptera musculus,2024-06-30T12:46:20Z,34.109982,-119.623933
Balaenoptera musculus,2024-06-10T11:36:30Z,32.751911,-117.36145
Balaenoptera musculus,2024-06-10T12:01:12Z,32.724187,-117.388916
Balaenoptera musculus,2024-05-29T10:43:29Z,32.707217,-117.375183
Balaenoptera musculus,2024-06-10T11:28:58Z,32.696455,-117.37793
Balaenoptera musculus,2024-07-10T13:13:58Z,32.14,-119.17
Balaenoptera musculus,2024-05-29T11:37:54Z,32.700283,-117.347717
Balaenoptera musculus,2024-07-10T13:16:16Z,32.14,-119.17
Balaenoptera musculus,2024-05-30T09:41:11Z,32.733429,-117.388916
Balaenoptera musculus,2024-05-30T09:41:11Z,32.733429,-117.388916
Balaenoptera musculus,2024-06-30T12:38:56Z,34.104782,-119.62097
Balaenoptera musculus,2024-05-30T10:13:48Z,32.697972,-117.339478
Balaenoptera musculus,2024-06-30T12:16:54Z,34.10384,-119.636057
Balaenoptera musculus,2024-06-30T12:17:00Z,34.10384,-119.636057
Balaenoptera musculus,2024-06-30T11:56:45Z,34.107988,-119.644935
Balaenoptera musculus,2024-06-30T12:08:23Z,34.108223,-119.652268
Balaenoptera musculus,2024-07-10T13:34:05Z,32.14,-119.17
Balaenoptera musculus,2024-07-10T13:34:05Z,32.14,-119.17
Balaenoptera musculus,2024-07-10T13:17:31Z,32.14,-119.17
Balaenoptera musculus,2024-07-10T13:32:52Z,32.14,-119.17
Balaenoptera musculus,2024-07-10T13:30:51Z,32.14,-119.17
Balaenoptera musculus,2024-06-02T12:39:45Z,32.746497,-117.366943
Balaenoptera musculus,2024-07-10T11:26:13Z,32.14,-119.17
Balaenoptera musculus,2024-06-02T12:04:18Z,32.855004,-117.336731
Balaenoptera musculus,2024-06-01T16:04:06Z,33.559938,-117.909564
Balaenoptera musculus,2024-06-02T12:01:19Z,33.56399,-118.000571
Balaenoptera musculus,2024-07-10T11:03:24Z,32.14,-119.17
